run,kB,reclen,write,rewrite,read,reread,rand_read,rand_write,bkwd_read,rec_rewrite,strd_read,fwrite,frewrite,fread,freread
1,2097152,16384,363053,313507,459106,442679,324747,325342,327515,581509,317057,1863731,2722195,6260489,5287184
2,2097152,16384,403112,300411,451324,455244,320700,293288,315802,557451,324984,1873671,2838327,6460846,5451520
3,2097152,16384,334074,315437,436968,459298,318401,297421,318725,582970,323527,1842021,2739907,6228125,5281036
4,2097152,16384,324990,336733,430697,458946,316330,320189,312724,566222,320409,1884485,2806988,6479570,5452967
5,2097152,16384,291887,267635,427149,447828,366655,245016,378438,326797,381331,1842574,2757922,6322971,5327495
6,2097152,16384,349701,357930,440951,445866,371704,350830,367888,646582,382892,1879102,2814794,6834699,5470663
7,2097152,16384,390187,398302,458896,441992,377358,373077,362190,622943,379832,1872171,2766724,6288480,5323748
8,2097152,16384,351777,381731,432142,453928,368367,374019,362753,655361,373024,1846624,2806192,6486264,5446086
9,2097152,16384,401391,400322,412599,417011,364141,383419,328177,648068,335749,1876819,2787805,6466484,5441804
10,2097152,16384,423122,404070,420055,459923,371269,367132,351739,271168,389608,1853590,2796146,6324630,5347884
